,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2023-05-09,141641.98475074768,139875.3304052353,140936.00512123108,140279.62791633606,133033.53687858582,127421.65828418732,115116.02388901454
2023-05-10,142055.72474479675,140285.41053295135,141406.32556533813,140514.53651428223,133356.3949623108,127741.27376461029,115653.88021949798
2023-05-11,141164.79808235168,139398.20620632172,140066.35166168213,139278.94713020325,132257.648147583,126783.66892051697,115452.179665703
2023-05-12,146640.50920295715,144829.4175825119,143608.93544387817,142843.22018623352,135086.48546600342,129224.99942016602,115300.89982049305
2023-05-15,145708.3424091339,143907.8781003952,142622.14247322083,141722.78811645508,133861.9711971283,128281.47824287415,115698.69272064419
2023-05-16,142394.87443733215,140616.91232585907,139496.49016952515,138737.4388771057,131357.81630706787,126140.83163738251,114925.52203064243
2023-05-17,141879.1334514618,140106.432803154,139225.93451690674,138705.90247535706,131384.54807662964,126291.96062374115,116320.60128489083
2023-05-18,142467.72490882874,140687.69615840912,139390.79446601868,139320.93026733398,132072.47028923035,126960.22070598602,117441.15302618608
2023-05-19,141815.13422584534,140038.98932170868,139144.99229431152,138967.62533187866,131802.85191345215,126767.03897953033,117270.25774453135
2023-05-22,140805.10616493225,139041.69249629974,138089.2161540985,137990.43784332275,131099.44356536865,126153.74643039703,117317.88763898808
2023-05-23,138196.9992237091,136648.42488765717,135632.0635356903,135624.2410812378,129231.99458885193,124699.457903862,116001.23469160928
2023-05-24,137095.87374305725,135666.3285741806,134547.01057624817,134778.3018951416,128464.8703327179,124053.439204216,115160.84524988817
2023-05-25,137556.29070091248,137100.9069776535,134473.3576335907,136728.63131523132,130350.06336212158,125597.13717556,116158.11388453063
2023-05-26,137962.35673713684,138992.6354970932,134979.02731513977,137724.13411712646,131803.6314754486,126819.38225460052,117662.45129697106
2023-05-30,138156.41029548645,139314.93158626556,135069.36149024963,138006.3839263916,131994.35732841492,126963.52566051483,117707.26379811729
2023-05-31,138432.15950584412,139551.46719264984,135555.60088920593,137427.14136695862,131304.701089859,126414.72380542755,117054.56768118519
2023-06-01,139344.4264011383,139897.19746303558,136091.75827980042,138500.00608444214,132267.9227924347,127186.18058300018,118166.7115411859
2023-06-02,141821.850938797,142336.3474187851,138117.36889076233,140661.5208053589,134774.9573726654,129294.9014120102,119875.53146182223
2023-06-05,142072.9787311554,142145.35417842865,138045.6660900116,140658.87871170044,134629.3334903717,129163.51658916473,119645.81645001534
2023-06-06,141323.7788143158,141220.25905895233,137493.05953407288,140411.48049926758,134687.93802452087,129160.35949230194,119906.3278742351
2023-06-07,139680.06489753723,140099.13470745087,136274.24000358582,139120.4347076416,133734.6822872162,128393.35963726044,119491.72807122229
2023-06-08,140464.06807518005,140647.45838451385,137128.72668266296,139922.9400062561,134327.21342468262,128871.41609287262,120214.4957720938
2023-06-09,140915.04599571228,140840.5054655075,137290.5720653534,140324.3752708435,134608.69700050354,129095.73771572113,120430.17697571257
2023-06-12,142121.61716651917,142777.67533397675,139017.95070457458,141984.67191696167,135948.87331581116,130211.7564535141,121522.71425899588
2023-06-13,141903.7033405304,142595.192984581,139525.87557411194,142711.69415283203,136842.6077413559,130968.85721302032,122323.89940700958
2023-06-14,142088.0745677948,143521.80103206635,140901.1320590973,143827.9870185852,137781.14961528778,131942.80382442474,122469.57990450808
2023-06-15,143385.9578075409,144006.68495464325,142046.1368045807,145070.2840270996,139052.46634197235,133059.7878332138,123987.8979667723
2023-06-16,143104.94652366638,143372.39097118378,141539.3308982849,144565.36434555054,138510.2158050537,132642.85100841522,123565.56362174668
2023-06-20,141962.8717288971,142713.65429210663,141114.96075630188,143983.5958442688,137743.9931383133,131842.53478717804,122924.50032687964
2023-06-21,142469.12768745422,142725.70960903168,141130.54146575928,143804.04736709595,137695.89408874512,131863.8442029953,122294.6800260724
2023-06-22,143244.97029685974,143331.12820339203,141466.87529182434,143899.09101104736,137653.75539684296,131655.47360134125,122736.11594335409
2023-06-23,142641.38383293152,142136.6421842575,140744.41367721558,143214.83242416382,136953.24044036865,131029.29484844208,121808.2278339145
2023-06-26,141810.57827949524,140925.2302427292,139187.08383369446,141986.89973068237,135961.17696666718,130174.84631633759,121310.55922687892
2023-06-27,143015.85560417175,142856.47010707855,141716.55257034302,144733.50099945068,138768.25921821594,132450.49849796295,122640.51062507238
2023-06-28,143103.06139183044,142790.33832073212,142404.1130695343,145353.14590454102,139315.26905345917,132890.81062412262,122702.36924171985
2023-06-29,143084.72626686096,143649.41528606415,142414.05803489685,145464.22104644775,139547.2296628952,133094.469704628,123185.98632111249
2023-06-30,145526.37470817566,145951.06622600555,145674.52747535706,148633.33631896973,142117.9543352127,135202.1919260025,124639.66381232829
2023-07-03,145194.98603248596,145837.6276769638,145546.97921562195,148686.87453460693,142924.9196577072,135856.09066867828,124783.08507934195
